UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",266,"R",40,"R",53,"R",115,"R",53,"R",0,"R",5
100654,10,"R",261,"R",40,"R",53,"R",115,"R",53,"R",0,"R",0
100654,20,"R",73,"R",36,"R",29,"R",8,"R",0,"R",0,"R",0
100654,30,"R",40,"R",0,"R",6,"R",33,"R",1,"R",0,"R",0
100654,40,"R",148,"R",4,"R",18,"R",74,"R",52,"R",0,"R",0
100654,42,"R",148,"R",4,"R",18,"R",74,"R",52,"R",0,"R",0
100654,50,"R",5,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5
100663, 0,"R",2756,"R",787,"R",732,"R",1031,"R",206,"R",0,"R",0
100663,10,"R",2756,"R",787,"R",732,"R",1031,"R",206,"R",0,"R",0
100663,20,"R",904,"R",616,"R",288,"R",0,"R",0,"R",0,"R",0
100663,30,"R",576,"R",15,"R",132,"R",429,"R",0,"R",0,"R",0
100663,40,"R",1276,"R",156,"R",312,"R",602,"R",206,"R",0,"R",0
100663,42,"R",1276,"R",156,"R",312,"R",602,"R",206,"R",0,"R",0
100690, 0,"R",31,"R",14,"R",7,"R",6,"R",4,"R",0,"R",0
100690,10,"R",31,"R",14,"R",7,"R",6,"R",4,"R",0,"R",0
100690,40,"R",31,"R",14,"R",7,"R",6,"R",4,"R",0,"R",0
100690,42,"R",26,"R",13,"R",6,"R",4,"R",3,"R",0,"R",0
100690,43,"R",5,"R",1,"R",1,"R",2,"R",1,"R",0,"R",0
100706, 0,"R",359,"R",75,"R",87,"R",118,"R",13,"R",66,"R",0
100706,10,"R",359,"R",75,"R",87,"R",118,"R",13,"R",66,"R",0
100706,20,"R",153,"R",73,"R",79,"R",1,"R",0,"R",0,"R",0
100706,30,"R",76,"R",0,"R",1,"R",75,"R",0,"R",0,"R",0
100706,40,"R",130,"R",2,"R",7,"R",42,"R",13,"R",66,"R",0
100706,41,"R",125,"R",2,"R",7,"R",40,"R",13,"R",63,"R",0
100706,42,"R",5,"R",0,"R",0,"R",2,"R",0,"R",3,"R",0
100706,44,"R",125,"R",2,"R",7,"R",40,"R",13,"R",63,"R",0
100724, 0,"R",205,"R",59,"R",53,"R",59,"R",32,"R",0,"R",2
100724,10,"R",203,"R",59,"R",53,"R",59,"R",32,"R",0,"R",0
100724,20,"R",106,"R",59,"R",44,"R",3,"R",0,"R",0,"R",0
